Q1_Banco;Q2_Banco_Principal;Q3_Contacto_Banco_Ultimos_6mese;Q4_Qto_tempo_Cliente;Q51_Presencial (balcão);Q52_Caixa Automático;Q53_Telefone;Q54_E-mail;Q57_Aplicação Móvel (APP);Q58_Call Center;Q59_Whatsapp;Q25_tempo_espera;G4_Sexo;G5_Idade
Finibanco de Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Masculino;35 – 44 
Banco Económico;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;25 – 34 
Banco Keve;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco Keve;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco Keve;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Keve;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Keve;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Keve;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Keve;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Keve;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Económico;0;1;> 10 ;1;1;1;1;1;1;1;Normal;Feminino;45 – 54 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco Económico;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;5 a 10 ;1;1;0;0;1;0;0;Normal;Feminino;25 – 34 
Banco Económico;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;18 – 24 
Finibanco de Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Finibanco de Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Standard Bank Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;> 10 ;1;0;0;1;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;5 a 10 ;1;1;1;0;1;1;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Standard Bank Angola;0;1;5 a 10 ;1;1;1;1;0;0;0;Normal;Masculino;45 – 54 
Standard Bank Angola;0;1;> 10 ;1;0;1;1;1;0;0;Normal;Feminino;25 – 34 
Standard Bank Angola;0;1;5 a 10 ;1;1;1;0;1;0;0;Normal;Masculino;45 – 54 
Standard Bank Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Standard Bank Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Feminino;45 – 54 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Keve;0;1;5 a 10 ;1;1;0;0;0;0;0;Longo;Masculino;35 – 44 
Banco Económico;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Fomento Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Longo;Feminino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;< 1 ano;1;1;0;0;0;0;0;Curto;Feminino;18 – 24 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco de Poupança e Crédito;0;1;< 1 ano;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Poupança e Crédito;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;35 – 44 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;1;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Feminino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;18 – 24 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Poupança e Crédito;0;1;5 a 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Feminino;18 – 24 
Banco de Poupança e Crédito;0;1;< 1 ano;1;0;0;0;0;0;0;Longo;Masculino;18 – 24 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;0;0;0;0;0;0;Curto;Feminino;35 – 44 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Fomento Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Masculino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Finibanco de Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Finibanco de Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco Económico;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Standard Bank Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Masculino;35 – 44 
Finibanco de Angola;0;1;5 a 10 ;1;1;1;1;0;0;0;Normal;Masculino;35 – 44 
Finibanco de Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Keve;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Masculino;25 – 34 
Banco Económico;0;1;> 10 ;1;1;1;1;0;0;0;Normal;Masculino;45 – 54 
Banco Económico;0;1;1 a 4 ;1;0;0;0;0;0;0;Curto;Feminino;25 – 34 
Standard Bank Angola;0;1;5 a 10 ;1;1;1;1;0;0;0;Curto;Feminino;35 – 44 
Standard Bank Angola;0;1;> 10 ;1;1;0;0;1;0;0;Demasiadamente curto;Masculino;45 – 54 
Standard Bank Angola;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Standard Bank Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Curto;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;> 10 ;1;1;1;1;0;0;0;Normal;Masculino;> 55 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;0;0;0;0;Curto;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;45 – 54 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;1;0;0;0;0;Normal;Feminino;18 – 24 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;1;0;0;0;0;Normal;Masculino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;> 55 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;1;1;0;0;0;Normal;Masculino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;1;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;1;0;0;0;Normal;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;1;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;1;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;1;0;0;0;Longo;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;0;1;1;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;0;1;0;0;0;Normal;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;1;1;0;0;0;Normal;Masculino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;0;0;1;0;0;0;Normal;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;1;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;0;0;0;0;0;0;Longo;Masculino;45 – 54 
Banco Angolano de Investimentos;0;1;5 a 10 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;5 a 10 ;1;0;0;0;1;0;0;Normal;Masculino;45 – 54 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Feminino;35 – 44 
Banco Angolano de Investimentos;0;1;> 10 ;0;0;0;0;1;0;0;Normal;Masculino;> 55 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;> 10 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Banco Angolano de Investimentos;0;1;5 a 10 ;1;0;0;0;1;0;0;Normal;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco de Comércio e Indústria;0;1;< 1 ano;1;0;0;0;0;0;0;Longo;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco de Comércio e Indústria;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco BIC;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco de Comércio e Indústria;0;1;> 10 ;1;1;1;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;> 55 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;1;0;0;0;Normal;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;1;0;0;1;0;0;Normal;Masculino;25 – 34 
Banco de Negócios Internacional;0;1;< 1 ano;1;1;0;0;1;0;0;Normal;Masculino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;1;0;0;0;0;Normal;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;1;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;45 – 54 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;0;1;1;0;0;0;Normal;Feminino;25 – 34 
Standard Bank Angola;0;1;< 1 ano;1;0;1;0;0;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;1;0;0;1;0;0;Normal;Masculino;25 – 34 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;18 – 24 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Feminino;45 – 54 
Standard Bank Angola;0;1;5 a 10 ;1;0;0;0;1;0;0;Normal;Feminino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Standard Bank Angola;0;1;< 1 ano;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;1;0;1;0;0;Normal;Masculino;25 – 34 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Standard Bank Angola;0;1;5 a 10 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Sol;0;1;< 1 ano;1;1;1;0;1;0;0;Demasiadamente curto;Feminino;18 – 24 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;1;1;0;1;0;0;Curto;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Curto;Feminino;18 – 24 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;1;1;1;0;0;Curto;Masculino;18 – 24 
Banco de Comércio e Indústria;0;1;> 10 ;1;1;1;1;1;0;0;Curto;Masculino;> 55 
Banco Sol;0;1;1 a 4 ;1;1;1;1;1;0;0;Normal;Feminino;> 55 
Banco Sol;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Económico;0;1;< 1 ano;1;1;1;1;1;0;0;Normal;Masculino;18 – 24 
Banco Económico;0;1;5 a 10 ;1;1;1;1;0;0;0;Normal;Feminino;> 55 
Banco Sol;0;1;1 a 4 ;1;1;1;1;0;0;0;Curto;Masculino;35 – 44 
Banco de Comércio e Indústria;0;1;< 1 ano;1;1;1;1;1;1;0;Normal;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;25 – 34 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;< 1 ano;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;18 – 24 
Banco Angolano de Investimentos;0;1;1 a 4 ;0;1;0;0;0;0;0;Demasiadamente longo;Masculino;18 – 24 
Banco Angolano de Investimentos;0;1;5 a 10 ;0;1;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco Angolano de Investimentos;0;1;1 a 4 ;0;1;0;0;1;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco Angolano de Investimentos;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;18 – 24 
Banco Comercial Angolano;0;1;< 1 ano;1;0;0;0;0;0;0;Curto;Feminino;25 – 34 
Banco Comercial Angolano;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente curto;Masculino;18 – 24 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Masculino;35 – 44 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;18 – 24 
Banco Sol;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco Sol;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Curto;Masculino;25 – 34 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;18 – 24 
Banco Económico;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Fomento Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Masculino;25 – 34 
Banco de Poupança e Crédito;0;1;5 a 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Feminino;18 – 24 
Banco de Negócios Internacional;0;1;1 a 4 ;1;1;0;0;0;0;0;Curto;Feminino;25 – 34 
Banco de Negócios Internacional;0;1;1 a 4 ;1;1;0;0;0;0;0;Curto;Masculino;35 – 44 
Banco Comercial do Huambo;0;1;< 1 ano;1;1;1;0;0;0;0;Normal;Masculino;25 – 34 
Banco de Poupança e Crédito;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;25 – 34 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Poupança e Crédito;0;1;> 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Feminino;45 – 54 
Banco de Poupança e Crédito;0;1;> 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;45 – 54 
Banco de Poupança e Crédito;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;1 a 4 ;1;1;0;0;1;0;0;Longo;Masculino;25 – 34 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;1;0;0;0;0;Longo;Masculino;35 – 44 
Banco Comercial do Huambo;0;1;1 a 4 ;1;1;1;1;0;0;0;Normal;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;1;0;0;Normal;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;0;1;0;0;0;Curto;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;< 1 ano;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;1;0;0;Normal;Masculino;25 – 34 
Finibanco de Angola;0;1;< 1 ano;1;1;0;0;1;0;0;Normal;Feminino;18 – 24 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco Caixa Geral Angola;0;1;5 a 10 ;1;1;1;1;0;0;0;Curto;Feminino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;0;0;1;0;0;Normal;Masculino;45 – 54 
Banco Caixa Geral Angola;0;1;> 10 ;1;1;1;1;1;0;0;Normal;Masculino;35 – 44 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Curto;Feminino;45 – 54 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;1;0;0;0;Normal;Masculino;45 – 54 
Finibanco de Angola;0;1;1 a 4 ;1;1;0;0;0;0;0;Curto;Masculino;35 – 44 
Banco Caixa Geral Angola;0;1;1 a 4 ;1;1;1;0;0;0;0;Curto;Feminino;25 – 34 
